templated_question,normalized_template,first_11_words,matched_train_template
What is the impact of EC1 on EC2 of EC3 in EC4?,What is the impact of EC on EC of EC in EC?,What is the impact of EC on EC of EC in,What is the impact of EC on EC of EC in EC compared to EC?
What is the impact of EC1 on EC2 of EC3 and EC4?,What is the impact of EC on EC of EC and EC?,What is the impact of EC on EC of EC and,"What is the impact of EC on EC of EC and EC, and how doesPC2e to EC that do PC EC?"
What is the effectiveness of EC1 in PC1 EC2 in EC3?,What is the effectiveness of EC in PC EC in EC?,What is the effectiveness of EC in PC EC in EC?,What is the effectiveness of EC in PC EC in EC?
How can the performance of EC1 be PC1 EC2 of EC3 in EC4?,How can the performance of EC be PC EC of EC in EC?,How can the performance of EC be PC EC of EC,"How can the performance of EC be PC EC of EC PC EC, specifically in PC EC, EC, and EC?"
What EC1 can be PC1 the performance of EC2 in EC3 of EC4?,What EC can be PC the performance of EC in EC of EC?,What EC can be PC the performance of EC in EC,"What EC can be PC the performance of EC in EC EC 7, PC EC and EC of EC in EC from EC?"
How does the performance of EC1 for EC2 PC1 EC3 under EC4?,How does the performance of EC for EC PC EC under EC?,How does the performance of EC for EC PC EC under,How does the performance of EC for EC PC EC under EC?
What is the effectiveness of EC1 in PC1 EC2 for EC3 of EC4?,What is the effectiveness of EC in PC EC for EC of EC?,What is the effectiveness of EC in PC EC for EC,What is the effectiveness of EC in PC EC for EC across EC in EC?
How can the performance of EC1 be PC1 EC2 of EC3 to EC4 EC5?,How can the performance of EC be PC EC of EC to EC EC?,How can the performance of EC be PC EC of EC,"How can the performance of EC be PC EC of EC PC EC, specifically in PC EC, EC, and EC?"
What is the impact of EC1 on EC2 and EC3 of EC4 in EC5 of EC6?,What is the impact of EC on EC and EC of EC in EC of EC?,What is the impact of EC on EC and EC of,"What is the impact of EC on EC and EC of the annotated French dialogue corpus for EC, in terms of EC?"
"What is the impact of EC1 on EC2 of EC3, as PC1 EC4 EC5 in EC6?","What is the impact of EC on EC of EC, as PC EC EC in EC?","What is the impact of EC on EC of EC, as","What is the impact of EC on EC of EC, as PC EC of EC?"
What is the effectiveness of EC1 in PC1 EC2 in EC3 when PC2 EC4?,What is the effectiveness of EC in PC EC in EC when PC EC?,What is the effectiveness of EC in PC EC in EC,What is the effectiveness of EC in PC EC in EC for EC?
What is the effectiveness of EC1 in PC1 EC2 when PC2 EC3 and EC4?,What is the effectiveness of EC in PC EC when PC EC and EC?,What is the effectiveness of EC in PC EC when PC,What is the effectiveness of EC in PC EC when PC EC from EC to EC for EC EC on EC?
What is the impact of EC1 on the accuracy and EC2 of EC3 for EC4?,What is the impact of EC on the accuracy and EC of EC for EC?,What is the impact of EC on the accuracy and EC,What is the impact of EC on the accuracy and EC of EC in EC (EC)?
"How can the performance of EC1 be PC1 when PC2 EC2 to EC3, PC3 EC4?","How can the performance of EC be PC when PC EC to EC, PC EC?",How can the performance of EC be PC when PC EC,"How can the performance of EC be PC when PC EC out-of-EC by using EC for EC, such as EC, EC, or PC?"
"What is the impact of EC1 on the performance of EC2, compared to EC3?","What is the impact of EC on the performance of EC, compared to EC?","What is the impact of EC on the performance of EC,","What is the impact of EC on the performance of EC, and how can EC improve EC for EC?"
How effective are EC1 in PC1 EC2 and EC3 in EC4 of EC5PC3y EC6 PC2 4-12?,How effective are EC in PC EC and EC in EC of EC5PC3y EC PC 4-12?,How effective are EC in PC EC and EC in EC,"How effective are EC in PC EC and EC in EC of EC, compared to EC?"
What is the effectiveness of EC1 in PC1 EC2 and EC3 of EC4 (EC5) PC2 EC6?,What is the effectiveness of EC in PC EC and EC of EC (EC) PC EC?,What is the effectiveness of EC in PC EC and EC,What is the effectiveness of EC in PC EC and EC for EC across EC using EC?
What is the effectiveness of EC1 in improving the accuracy of EC2 for EC3?,What is the effectiveness of EC in improving the accuracy of EC for EC?,What is the effectiveness of EC in improving the accuracy of,What is the effectiveness of EC in improving the accuracy of EC (EC) for EC to Inuktitut EC?
"What is the impact of EC1, EC2, EC3, and EC4 on PC1 EC5 across EC6 and EC7?","What is the impact of EC, EC, EC, and EC on PC EC across EC and EC?","What is the impact of EC, EC, EC, and EC on","What is the impact of EC, EC, EC, and EC on EC of EC when PC EC, and how do PC influence EC of EC?"
"What is the effectiveness of EC1 in accurately PC1 EC2 from EC3, as PC2 EC4?","What is the effectiveness of EC in accurately PC EC from EC, as PC EC?",What is the effectiveness of EC in accurately PC EC from,What is the effectiveness of EC in accurately PC EC from EC into EC for EC?
"What is the effectiveness of EC1 in PC1 EC2 of EC3, in terms of EC4 and EC5?","What is the effectiveness of EC in PC EC of EC, in terms of EC and EC?","What is the effectiveness of EC in PC EC of EC,","What is the effectiveness of EC in PC EC of EC, EC, and PC EC in PC EC?"
"What is the effectiveness of EC1 in PC1 EC2 when PC2 EC3 (EC4, EC5, and EC6)?","What is the effectiveness of EC in PC EC when PC EC (EC, EC, and EC)?",What is the effectiveness of EC in PC EC when PC,What is the effectiveness of EC in PC EC when PC EC from EC to EC for EC EC on EC?
"How can EC1 of EC2 in EC3 be PC1 and PC2 the performance of EC4, EC5, and EC6?","How can EC of EC in EC be PC and PC the performance of EC, EC, and EC?",How can EC of EC in EC be PC and PC,"How can EC of EC in EC be PC and PC that of EC, considering the performance of EC on EC?"
